accession	annotator_id	csid	date	value	source
PhpafMp01	cosmoss		2010-09-08 20:09:45	cox1	gb|NC_007945
PhpafMp02	cosmoss		2010-09-08 20:09:45	ORF622	gb|NC_007945
PhpafMp03	cosmoss		2010-09-08 20:09:45	atp4	gb|NC_007945
PhpafMp04	cosmoss		2010-09-08 20:09:45	atp8	gb|NC_007945
PhpafMp05	cosmoss		2010-09-08 20:09:45	rps1	gb|NC_007945
PhpafMp06	cosmoss		2010-09-08 20:09:45	rps2	gb|NC_007945
PhpafMp07	cosmoss		2010-09-08 20:09:45	ccmB	gb|NC_007945
PhpafMp08	cosmoss		2010-09-08 20:09:45	ccmC	gb|NC_007945
PhpafMp09	cosmoss		2010-09-08 20:09:45	ccmFN	gb|NC_007945
PhpafMp10	cosmoss		2010-09-08 20:09:45	ccmF	gb|NC_007945
PhpafMp11	cosmoss		2010-09-08 20:09:45	rps4	gb|NC_007945
PhpafMp12	cosmoss		2010-09-08 20:09:45	tatC	gb|NC_007945
PhpafMp13	cosmoss		2010-09-08 20:09:45	nad4L	gb|NC_007945
PhpafMp14	cosmoss		2010-09-08 20:09:45	sdh4	gb|NC_007945
PhpafMp15	cosmoss		2010-09-08 20:09:45	sdh3	gb|NC_007945
PhpafMp16	cosmoss		2010-09-08 20:09:45	ORF187	gb|NC_007945
PhpafMp17	cosmoss		2010-09-08 20:09:45	nad5	gb|NC_007945
PhpafMp18	cosmoss		2010-09-08 20:09:45	ORF533	gb|NC_007945
PhpafMp19	cosmoss		2010-09-08 20:09:45	nad4	gb|NC_007945
PhpafMp20	cosmoss		2010-09-08 20:09:45	nad2	gb|NC_007945
PhpafMp21	cosmoss		2010-09-08 20:09:45	rps12	gb|NC_007945
PhpafMp22	cosmoss		2010-09-08 20:09:45	rps7	gb|NC_007945
PhpafMp23	cosmoss		2010-09-08 20:09:45	atp6	gb|NC_007945
PhpafMp24	cosmoss		2010-09-08 20:09:45	nad6	gb|NC_007945
PhpafMp25	cosmoss		2010-09-08 20:09:45	cox2	gb|NC_007945
PhpafMp26	cosmoss		2010-09-08 20:09:45	cox3	gb|NC_007945
PhpafMp27	cosmoss		2010-09-08 20:09:45	nad1	gb|NC_007945
PhpafMp28	cosmoss		2010-09-08 20:09:45	cob	gb|NC_007945
PhpafMp29	cosmoss		2010-09-08 20:09:45	nad9	gb|NC_007945
PhpafMp30	cosmoss		2010-09-08 20:09:45	atp1	gb|NC_007945
PhpafMp31	cosmoss		2010-09-08 20:09:45	nad3	gb|NC_007945
PhpafMp32	cosmoss		2010-09-08 20:09:45	nad7	gb|NC_007945
PhpafMp33	cosmoss		2010-09-08 20:09:45	rpl2	gb|NC_007945
PhpafMp34	cosmoss		2010-09-08 20:09:45	rps19	gb|NC_007945
PhpafMp35	cosmoss		2010-09-08 20:09:45	rps3	gb|NC_007945
PhpafMp36	cosmoss		2010-09-08 20:09:45	rpl16	gb|NC_007945
PhpafMp37	cosmoss		2010-09-08 20:09:45	rpl5	gb|NC_007945
PhpafMp38	cosmoss		2010-09-08 20:09:45	rps14	gb|NC_007945
PhpafMp39	cosmoss		2010-09-08 20:09:45	rpl6	gb|NC_007945
PhpafMp40	cosmoss		2010-09-08 20:09:45	rps13	gb|NC_007945
PhpafMp41	cosmoss		2010-09-08 20:09:45	rps11	gb|NC_007945
PhpafMp42	cosmoss		2010-09-08 20:09:45	atp9	gb|NC_007945
PhpapaCp001	cosmoss		2010-09-08 20:09:45	rps12	gb|NC_005087
PhpapaCp002	cosmoss		2010-09-08 20:09:45	rps7	gb|NC_005087
PhpapaCp003	cosmoss		2010-09-08 20:09:45	ndhB	gb|NC_005087
PhpapaCp004	cosmoss		2010-09-08 20:09:45	psbM	gb|NC_005087
PhpapaCp005	cosmoss		2010-09-08 20:09:45	ycf66	gb|NC_005087
PhpapaCp006	cosmoss		2010-09-08 20:09:45	petN	gb|NC_005087
PhpapaCp007	cosmoss		2010-09-08 20:09:45	petD	gb|NC_005087
PhpapaCp008	cosmoss		2010-09-08 20:09:45	petB	gb|NC_005087
PhpapaCp009	cosmoss		2010-09-08 20:09:45	psbH	gb|NC_005087
PhpapaCp010	cosmoss		2010-09-08 20:09:45	psbN	gb|NC_005087
PhpapaCp011	cosmoss		2010-09-08 20:09:45	psbT	gb|NC_005087
PhpapaCp012	cosmoss		2010-09-08 20:09:45	psbB	gb|NC_005087
PhpapaCp013	cosmoss		2010-09-08 20:09:45	clpP	gb|NC_005087
PhpapaCp014	cosmoss		2010-09-08 20:09:45	rpl20	gb|NC_005087
PhpapaCp015	cosmoss		2010-09-08 20:09:45	rps18	gb|NC_005087
PhpapaCp016	cosmoss		2010-09-08 20:09:45	rpl33	gb|NC_005087
PhpapaCp017	cosmoss		2010-09-08 20:09:45	psaJ	gb|NC_005087
PhpapaCp018	cosmoss		2010-09-08 20:09:45	petG	gb|NC_005087
PhpapaCp019	cosmoss		2010-09-08 20:09:45	petL	gb|NC_005087
PhpapaCp020	cosmoss		2010-09-08 20:09:45	psbE	gb|NC_005087
PhpapaCp021	cosmoss		2010-09-08 20:09:45	psbF	gb|NC_005087
