model	cluster_id	bincode	name	nannot_sources	nspecies
Pp1s28_350V6.1	5104	10	cell wall	1	1
Pp1s69_160V6.1	5104	10	cell wall	1	1
Pp1s22_17V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s98_246V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s211_20V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s153_20V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s162_61V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s13_205V6.1	1885	10.1	cell wall.precursor synthesis	2	2
Pp1s104_141V6.1	1885	10.1	cell wall.precursor synthesis	2	2
Pp1s149_19V6.1	5807	10.1	cell wall.precursor synthesis	1	1
Pp1s194_128V6.2	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s88_1V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s195_8V6.2	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s88_1V6.2	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s194_128V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s195_8V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s263_3V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s307_8V6.2	6017	10.1.11	cell wall.precursor synthesis.UER	1	1
Pp1s307_6V6.1	6017	10.1.11	cell wall.precursor synthesis.UER	1	1
Pp1s307_8V6.1	6017	10.1.11	cell wall.precursor synthesis.UER	1	1
Pp1s114_202V6.1	1956	10.1.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose	2	1
Pp1s323_19V6.1	1956	10.1.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose	2	1
Pp1s276_103V6.1	7354	10.1.1.2	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP fucose and fucokinase	1	1
Pp1s2_145V6.1	4892	10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars	2	2
Pp1s269_25V6.1	4892	10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars	2	2
Pp1s2_146V6.1	4892	10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars	2	2
Pp1s294_43V6.1	10091	10.1.12.1	cell wall.precursor synthesis.KDO pathway.arabinose-5-phosphate isomerase	1	1
Pp1s12_229V6.1	6097	10.1.12.2	cell wall.precursor synthesis.KDO pathway.KDO-8-Phosphate Synthase	4	1
Pp1s31_106V6.1	5840	10.1.12.4	cell wall.precursor synthesis.KDO pathway.CMP-KDO Synthetase	1	1
